id,english,iast,devanagari,type,chapter,doshas,dhatus,clinical_significance
ITA-3.16.43,,viṭapaḥ (marma),विटपः (मर्म),ANATOMY,3,,,low
ITA-3.16.44,,kukundaraḥ (marma),कुकुन्दरः (मर्म),ANATOMY,3,,,low
ITA-3.16.45,,"kakṣadharaḥ (marma),",कक्षधरः (मर्म),ANATOMY,3,,,low
ITA-3.16.46,,vidhurā (marma),विधुरा (मर्म),ANATOMY,3,,,low
ITA-3.16.47,,kṛkāṭikā (marma),कृकाटिका (मर्म),ANATOMY,3,,,low
ITA-3.16.48,,aṃsaphalakam (marma),अंसफलकम (मर्म),ANATOMY,3,,,low
ITA-3.16.49,,nīlā (marma),नीला (मर्म),ANATOMY,3,,,low
ITA-3.16.50,,manyā (marma),मञा (मर्म),ANATOMY,3,,,low
ITA-3.16.51,,phaṇam (marma),फणम (मर्म),ANATOMY,3,,,low
ITA-3.16.52,,āvartaḥ (marma),आवर्तः (मर्म),ANATOMY,3,,,low
ITA-3.16.53,,kūrcaśiraḥ (marma),कूर्चशिरः (मर्म),ANATOMY,3,,,low
ITA-3.17.1,Fetus or embryo,garbhaḥ,गर्भः,ANATOMY,3,,,low
ITA-3.17.2,Stage of fetal develop,kalalam,कललम,ANATOMY,3,,,low
ITA-3.17.3,Stage of fetal develop,budbudam,बुद्बुदम,ANATOMY,3,,,low
ITA-3.17.4,Placenta,"aparā, amarā","अपरा, अमरा",ANATOMY,3,,,low
ITA-3.17.5,Umbilical cord,"nābhināḍī,",नाभिनाडी,ANATOMY,3,,,low
ITA-3.17.6,Fetal membranes,jarāyuḥ,जरायुः,ANATOMY,3,,,low
ITA-3.17.7,Birthing custard,ulvam,उल्वम,ANATOMY,3,,,low
ITA-3.17.8,"Seed, germinative",bīja,बीज,ANATOMY,3,,,low
ITA-3.17.9,Part of seed,bījabhāgaḥ,बीजभागः,ANATOMY,3,,,low
